GN_ID,Gene_Name,log2FC(insoluble/soluble protein ratio),-LOG10(P-VALUE),Prefix,UniProt_ID,UniProt_Name,Direction
Apoa2_sp|P09813|APOA2_MOUSE,Apoa2,3.31955711332542,1.92755651399942,Apoa2_sp,P09813,APOA2_MOUSE,up
Hrnr_sp|Q8VHD8|HORN_MOUSE,Hrnr,2.91887269100495,1.78943217689568,Hrnr_sp,Q8VHD8,HORN_MOUSE,up
Mup10_tr|A2BIN1|A2BIN1_MOUSE,Mup10,2.59649242167516,2.06666505473421,Mup10_tr,A2BIN1,A2BIN1_MOUSE,up
Mup1_sp|P11588|MUP1_MOUSE,Mup1,2.30315285121059,2.1368412669366,Mup1_sp,P11588,MUP1_MOUSE,up
Mup7_tr|E9QA79|E9QA79_MOUSE,Mup7,2.30315285121051,2.13684126693643,Mup7_tr,E9QA79,E9QA79_MOUSE,up
S100a11_sp|P50543|S10AB_MOUSE,S100a11,1.7051267429244,2.48718427357592,S100a11_sp,P50543,S10AB_MOUSE,up
Smox_sp|Q99K82|SMOX_MOUSE,Smox,1.5960928979113,1.7629373074174,Smox_sp,Q99K82,SMOX_MOUSE,up
Erlin1_sp|Q91X78|ERLN1_MOUSE,Erlin1,1.52693956507863,1.55960419829346,Erlin1_sp,Q91X78,ERLN1_MOUSE,up
Pdcd5_sp|P56812|PDCD5_MOUSE,Pdcd5,1.47620121405383,2.68837343106473,Pdcd5_sp,P56812,PDCD5_MOUSE,up
S100a11_sp|P50543|S10AB_MOUSE,S100a11,1.43304984666286,1.88639968407722,S100a11_sp,P50543,S10AB_MOUSE,up
Cd34_sp|Q64314|CD34_MOUSE,Cd34,1.37746622433598,1.78581325659672,Cd34_sp,Q64314,CD34_MOUSE,up
Erlin2_sp|Q8BFZ9|ERLN2_MOUSE,Erlin2,1.33528339460179,1.4444528456339,Erlin2_sp,Q8BFZ9,ERLN2_MOUSE,up
S100a13_sp|P97352|S10AD_MOUSE,S100a13,1.32550444664911,2.1740103826441,S100a13_sp,P97352,S10AD_MOUSE,up
Ccdc57_sp|Q6PHN1|CCD57_MOUSE,Ccdc57,1.27341089815265,1.45497564867483,Ccdc57_sp,Q6PHN1,CCD57_MOUSE,up
Serpina3k_sp|P07759|SPA3K_MOUSE,Serpina3k,1.25388549797887,2.75921421191404,Serpina3k_sp,P07759,SPA3K_MOUSE,up
Tmx2_sp|Q9D710|TMX2_MOUSE,Tmx2,1.24697018402553,1.37120512484638,Tmx2_sp,Q9D710,TMX2_MOUSE,up
haemaglobin_tr|Q91VB8|Q91VB8_MOUSE,haemaglobin,1.22478096668803,1.34778757237935,haemaglobin_tr,Q91VB8,Q91VB8_MOUSE,up
Ugdh_sp|O70475|UGDH_MOUSE,Ugdh,1.15620157019101,2.08439925256844,Ugdh_sp,O70475,UGDH_MOUSE,up
Kdelr1_sp|Q99JH8|ERD21_MOUSE,Kdelr1,1.13873426567093,1.32680424042935,Kdelr1_sp,Q99JH8,ERD21_MOUSE,up
S100a6_sp|P14069|S10A6_MOUSE,S100a6,1.12802325351138,2.25584269919446,S100a6_sp,P14069,S10A6_MOUSE,up
Serpina1e_sp|Q00898|A1AT5_MOUSE,Serpina1e,1.11995558576807,2.12571755552983,Serpina1e_sp,Q00898,A1AT5_MOUSE,up
Fxyd1_sp|Q9Z239|PLM_MOUSE,Fxyd1,1.11299782420626,2.33449177758665,Fxyd1_sp,Q9Z239,PLM_MOUSE,up
Serpina1a_sp|P07758|A1AT1_MOUSE,Serpina1a,1.04936028299505,3.10384843706171,Serpina1a_sp,P07758,A1AT1_MOUSE,up
Acyp1_sp|P56376|ACYP1_MOUSE,Acyp1,1.04048646477901,1.89862903622568,Acyp1_sp,P56376,ACYP1_MOUSE,up
Serpina1b_sp|P22599|A1AT2_MOUSE,Serpina1b,1.04020251296526,2.22614661423116,Serpina1b_sp,P22599,A1AT2_MOUSE,up
Serpina1c_sp|Q00896|A1AT3_MOUSE,Serpina1c,1.03477279075487,3.04041396986178,Serpina1c_sp,Q00896,A1AT3_MOUSE,up
Pdcd5_sp|P56812|PDCD5_MOUSE,Pdcd5,1.03238043288903,1.58292472910736,Pdcd5_sp,P56812,PDCD5_MOUSE,up
Sepw1_sp|P63300|SELW_MOUSE,Sepw1,1.00005272638138,1.83596527230087,Sepw1_sp,P63300,SELW_MOUSE,up
Serpina1d_sp|Q00897|A1AT4_MOUSE,Serpina1d,0.998768245042291,2.27030418448685,Serpina1d_sp,Q00897,A1AT4_MOUSE,up
Lactb2_sp|Q99KR3|LACB2_MOUSE,Lactb2,0.997355618939301,1.98255179125213,Lactb2_sp,Q99KR3,LACB2_MOUSE,up
Sdcbp_sp|O08992|SDCB1_MOUSE,Sdcbp,0.985258825521842,1.32505772183779,Sdcbp_sp,O08992,SDCB1_MOUSE,up
Spr_sp|Q64105|SPRE_MOUSE,Spr,0.972060097931764,2.55158174089298,Spr_sp,Q64105,SPRE_MOUSE,up
Glrx5_sp|Q80Y14|GLRX5_MOUSE,Glrx5,0.961885300858765,1.47957050809232,Glrx5_sp,Q80Y14,GLRX5_MOUSE,up
Rraga_sp|Q80X95|RRAGA_MOUSE,Rraga,0.960850381104624,1.62774962631043,Rraga_sp,Q80X95,RRAGA_MOUSE,up
Comp_sp|Q9R0G6|COMP_MOUSE,Comp,0.952267010685529,2.11426510877027,Comp_sp,Q9R0G6,COMP_MOUSE,up
Pak2_sp|Q8CIN4|PAK2_MOUSE,Pak2,0.9511990708411,1.37574390780071,Pak2_sp,Q8CIN4,PAK2_MOUSE,up
Pvalb_sp|P32848|PRVA_MOUSE,Pvalb,0.94378952780963,1.4800725763657,Pvalb_sp,P32848,PRVA_MOUSE,up
Amd2_sp|D3Z6H8|DCAM2_MOUSE,Amd2,0.939047157975278,2.57112676182605,Amd2_sp,D3Z6H8,DCAM2_MOUSE,up
Comp_sp|Q9R0G6|COMP_MOUSE,Comp,0.936491367005305,2.066966734355,Comp_sp,Q9R0G6,COMP_MOUSE,up
Thtpa_sp|Q8JZL3|THTPA_MOUSE,Thtpa,0.932573876846637,3.42939665818003,Thtpa_sp,Q8JZL3,THTPA_MOUSE,up
