GN_ID,Gene_Name,log2FC(insoluble/soluble protein ratio), -LOG10(P-VALUE),Protein_ID
Gm27029_tr|A2A4P4|A2A4P4_MOUSE,Gm27029,-0.377081665145653,1.37355838100566,A2A4P4
Map1b_sp|P14873|MAP1B_MOUSE,Map1b,-0.377513879328496,2.02932082389799,P14873
Hadhb_sp|Q99JY0|ECHB_MOUSE,Hadhb,-0.381011003557647,1.69567374816642,Q99JY0
Snd1_sp|Q78PY7|SND1_MOUSE,Snd1,-0.382053588653438,1.75729669234974,Q78PY7
Gigyf2_sp|Q6Y7W8|PERQ2_MOUSE,Gigyf2,-0.382063184158977,1.60507472274819,Q6Y7W8
Mlip_tr|V9GXW5|V9GXW5_MOUSE,Mlip,-0.388192637018959,1.50770418172924,V9GXW5
Hadha_sp|Q8BMS1|ECHA_MOUSE,Hadha,-0.389641406189008,1.60429151401488,Q8BMS1
Ddost_sp|O54734|OST48_MOUSE,Ddost,-0.392695160938865,1.32406398545348,O54734
Itih2_sp|Q61703|ITIH2_MOUSE,Itih2,-0.394950828767305,1.5454765897513,Q61703
Gcat_sp|O88986|KBL_MOUSE,Gcat,-0.397090162192608,1.91331068813969,O88986
Aarsd1_sp|Q3THG9|AASD1_MOUSE,Aarsd1,-0.397243498682592,1.35785091570554,Q3THG9
Tmem161b_sp|Q8C2L6|T161B_MOUSE,Tmem161b,-0.398025972103142,2.26887812387235,Q8C2L6
Cmpk2_sp|Q3U5Q7|CMPK2_MOUSE,Cmpk2,-0.399317092551542,1.34426351536208,Q3U5Q7
Snd1_sp|Q78PY7|SND1_MOUSE,Snd1,-0.401014684434667,1.83931828865182,Q78PY7
Coro1a_sp|O89053|COR1A_MOUSE,Coro1a,-0.403117093285373,1.52143106984966,O89053
Acss1_sp|Q99NB1|ACS2L_MOUSE,Acss1,-0.407907707761716,2.24646114220877,Q99NB1
Acad9_sp|Q8JZN5|ACAD9_MOUSE,Acad9,-0.40850620046157,1.41664579610617,Q8JZN5
Selenbp1_sp|P17563|SBP1_MOUSE,Selenbp1,-0.408841163837309,1.73000091162803,P17563
Lactb_sp|Q9EP89|LACTB_MOUSE,Lactb,-0.409073261439057,1.38299263764461,Q9EP89
Ptrhd1_sp|D3Z4S3|PTRD1_MOUSE,Ptrhd1,-0.409382376859058,1.88480054668522,D3Z4S3
H2-D1_sp|P01899|HA11_MOUSE,H2-D1,-0.410750625113234,1.57331746838208,P01899
H2-D1_sp|P01899|HA11_MOUSE,H2-D1,-0.411643669499499,1.57786796098131,P01899
Siglec1_sp|Q62230|SN_MOUSE,Siglec1,-0.415829791296977,1.51651944237602,Q62230
Cd2ap_sp|Q9JLQ0|CD2AP_MOUSE,Cd2ap,-0.416028495734694,1.88224433242389,Q9JLQ0
Lamtor1_sp|Q9CQ22|LTOR1_MOUSE,Lamtor1,-0.422233628232253,1.59890228986938,Q9CQ22
Smg1_sp|Q8BKX6|SMG1_MOUSE,Smg1,-0.422298705822515,2.18299920127239,Q8BKX6
Xpnpep1_tr|Q3UE92|Q3UE92_MOUSE,Xpnpep1,-0.425593827803137,1.63281971191808,Q3UE92
Pck2_sp|Q8BH04|PCKGM_MOUSE,Pck2,-0.42862440095413,1.8449096650714,Q8BH04
Col15a1_sp|O35206|COFA1_MOUSE,Col15a1,-0.432461926252888,1.74413341083392,O35206
Aldh1l2_sp|Q8K009|AL1L2_MOUSE,Aldh1l2,-0.432540459701596,1.47988931352126,Q8K009
Fmo2_sp|Q8K2I3|FMO2_MOUSE,Fmo2,-0.433121980521055,1.67696414746336,Q8K2I3
Fbxo3_sp|Q9DC63|FBX3_MOUSE,Fbxo3,-0.434366249949706,1.56432679161191,Q9DC63
Map1s_sp|Q8C052|MAP1S_MOUSE,Map1s,-0.436669291978566,2.04872040350576,Q8C052
Abca8b_sp|Q8K440|ABC8B_MOUSE,Abca8b,-0.437002077189293,1.76691729161749,Q8K440
Mgll_sp|O35678|MGLL_MOUSE,Mgll,-0.439239439707273,1.45450806550612,O35678
Tmem161b_sp|Q8C2L6|T161B_MOUSE,Tmem161b,-0.443516240815439,2.47198561747059,Q8C2L6
Dctn1_sp|O08788|DCTN1_MOUSE,Dctn1,-0.448323346869468,2.24965193348153,O08788
Zfp341_tr|Q6PGC9|Q6PGC9_MOUSE,Zfp341,-0.451988054768366,1.69426511176962,Q6PGC9
